ride_id,rideable_type,weekdays,duration,start_station_name,end_station_name,member_casual
4BE06CB33B037044,classic_bike,Tuesday,15.333266667524974,Columbus Ave & W 95 St,E 53 St & Madison Ave,member
26886E034974493B,classic_bike,Wednesday,5.309466663996378,2 Ave & E 96 St,1 Ave & E 110 St,member
24DC56060EBE6260,classic_bike,Friday,9.691799998283386,Columbia St & Rivington St,Grand St & Elizabeth St,member
EEDC1053582D02E5,classic_bike,Sunday,6.996183331807455,W 84 St & Columbus Ave,Columbus Ave & W 72 St,member
2CD4BD4CEE2E50A9,classic_bike,Friday,2.849500000476837,Forsyth St & Broome St,Suffolk St & Stanton St,member
E18682F9A4E501BB,classic_bike,Sunday,25.52346666653951,Allen St & Hester St,Atlantic Ave & Furman St,member
B9B2E8960A71A284,classic_bike,Sunday,3.652083333333333,Lafayette St & Jersey St,Washington Pl & Broadway,member
DEF8F50495E64691,classic_bike,Sunday,38.252216664950055,28 Ave & 44 St,Broadway & Kosciuszko St,member
17D44DA993F32573,classic_bike,Thursday,38.46441666682561,Barrow St & Hudson St,Emerson Pl & Myrtle Ave,member
0FD113A309327E8C,classic_bike,Tuesday,6.521466664473215,Carlton Ave & Park Ave,Emerson Pl & Myrtle Ave,member
0CAFCDFBA1E07E4D,classic_bike,Wednesday,9.858949999014536,E 85 St & 3 Ave,E 74 St & 1 Ave,member
EB8C1AF7EAF030E4,classic_bike,Saturday,12.040316665172577,Front St & Jay St,DeKalb Ave & S Portland Ave,member
3739D0D0845CB50B,classic_bike,Sunday,17.795433334509532,Graham Ave & Conselyea St,McKibbin St & Manhattan Ave,member
A640FC1681D30B23,classic_bike,Thursday,18.310066668192544,E 17 St & Broadway,9 Ave & W 45 St,member
AD62A16C2908DA06,classic_bike,Tuesday,21.13925000031789,Banker St & Meserole Ave,Clermont Ave & Park Ave,member
73A0EBFDC11F8B31,classic_bike,Wednesday,8.389749999841055,W 52 St & 6 Ave,11 Ave & W 41 St,member
5B252A54009E3FCF,classic_bike,Monday,20.436466666062675,Stanton St & Mangin St,Pershing Square South,member
F7D8995A7A18BDAA,classic_bike,Tuesday,9.983133335908255,6 Ave & W 34 St,E 16 St & 5 Ave,member
263385BD16032AA9,classic_bike,Thursday,6.325600000222524,Willoughby Ave & Hall St,DeKalb Ave & Hudson Ave,member
